Td		ID		Tj		Df		Dd		Db
205		2407		200		0		5		5

205		355		166		2		37		39

205		399		195		0		10		10

206		2399		199		0		7		7

206		2408		200		0		6		6

206		2392		195		0		11		11

207		2319		154		2		51		53

207		404		199		0		8		8

208		2402		199		0		9		9

208		2412		200		1		7		8

209		2153		81		0		128		128

210		2328		155		2		53		55

210		2157		82		16		112		128

210		2413		204		0		6		6

210		387		193		0		17		17

212		2421		206		0		6		6

213		2336		160		2		51		53

213		2339		160		2		51		53

213		2228		119		0		94		94

213		2226		119		0		94		94

213		2223		118		0		95		95

214		2431		210		0		4		4

214		2433		210		0		4		4

214		400		199		0		15		15

215		2170		87		13		115		128

216		2343		161		3		52		55

216		431		210		0		6		6

216		430		210		0		6		6

216		414		204		0		12		12

218		2434		214		0		4		4

218		204		107		4		107		111

219		2233		124		19		76		95

219		2235		124		0		95		95

219		2435		214		0		5		5

219		397		195		0		24		24

219		412		200		0		19		19

219		416		204		0		15		15

219		423		206		0		13		13

219		432		210		0		9		9

220		417		204		0		16		16

221		2348		161		3		57		60

221		415		204		0		17		17

222		2446		218		0		4		4

222		442		218		0		4		4

223		403		199		0		24		24

223		394		195		0		28		28

224		453		220		0		4		4

224		420		204		0		20		20

225		2454		220		0		5		5

225		422		206		1		18		19

225		427		206		1		18		19

226		2344		161		3		62		65

226		407		200		0		26		26

226		385		192		10		24		34

228		2373		186		3		39		42

228		2465		222		0		6		6

229		2468		222		0		7		7

229		2463		222		0		7		7

230		2242		129		0		101		101

230		389		193		0		37		37

231		2359		179		2		50		52

231		2250		130		0		101		101

231		451		220		0		11		11

232		2193		93		0		139		139

232		468		222		0		10		10

232		441		214		0		18		18

233		2254		131		0		102		102

234		2471		228		0		6		6

234		444		218		1		15		16

235		2257		131		0		104		104

235		2472		228		0		7		7

236		2397		195		2		39		41

236		2401		199		0		37		37

236		445		218		0		18		18

237		2476		232		0		5		5

238		2479		232		0		6		6

238		2482		232		0		6		6

238		409		200		0		38		38

240		2388		193		3		44		47

240		2484		234		0		6		6

240		2331		156		0		84		84

240		478		232		0		8		8

240		486		234		0		6		6

241		2332		156		0		85		85

241		433		210		1		30		31

241		448		218		1		22		23

241		470		228		0		13		13

242		2485		234		0		8		8

242		2483		234		0		8		8

242		489		234		0		8		8

243		2362		179		3		61		64

243		418		204		1		38		39

243		490		234		0		9		9

245		2395		195		2		48		50

245		2165		86		0		159		159

246		2398		195		2		49		51

246		2430		210		2		34		36

246		2496		240		0		6		6

247		2492		240		0		7		7

247		454		220		1		26		27

247		455		220		1		26		27

247		481		232		0		15		15

248		2502		242		0		6		6

248		2490		240		0		8		8

248		467		222		1		25		26

248		469		222		1		25		26

249		2410		200		3		46		49

249		2364		180		0		69		69

249		457		221		1		27		28

249		458		221		1		27		28

249		462		221		1		27		28

249		512		244		0		5		5

249		504		242		0		7		7

249		493		240		0		9		9

250		2420		206		2		42		44

250		2425		206		2		42		44

250		424		206		1		43		44

250		465		222		0		28		28

250		459		221		0		29		29

250		419		204		0		46		46

250		464		222		1		27		28

250		473		228		1		21		22

251		2509		243		0		8		8

252		2181		91		0		161		161

252		452		220		1		31		32

252		426		206		1		45		46

253		2513		244		1		8		9

253		2498		242		0		11		11

254		2352		166		0		88		88

254		2517		244		0		10		10

254		514		244		0		10		10

254		515		244		0		10		10

255		2409		200		2		53		55

255		2504		243		0		12		12

255		2278		142		0		113		113

255		520		248		0		7		7

256		487		234		0		22		22

257		2400		199		3		55		58

257		2520		248		0		9		9

257		2531		250		0		7		7

257		2530		250		0		7		7

257		474		228		1		28		29

258		2442		218		2		38		40

258		2521		248		0		10		10

258		2285		146		0		112		112

258		499		242		0		16		16

258		522		248		0		10		10

259		2443		218		2		39		41

259		2457		221		3		35		38

259		2460		221		3		35		38

259		2529		250		0		9		9

259		2519		248		1		10		11

259		466		222		1		36		37

260		2536		256		0		4		4

260		483		232		1		27		28

260		491		240		2		18		20

262		2243		129		0		133		133

262		536		256		0		6		6

263		2245		130		20		113		133

264		2453		220		2		42		44

264		2441		218		2		44		46

264		2189		93		12		159		171

264		480		232		1		31		32

264		482		232		1		31		32

265		2544		260		0		5		5

265		527		250		0		15		15

266		2539		260		0		6		6

266		516		244		2		20		22

268		2500		242		2		24		26

268		2475		228		3		37		40

268		2548		264		0		4		4

268		495		240		0		28		28

269		2393		195		0		74		74

270		2462		222		2		46		48

270		2253		131		0		139		139

