Td		ID		Tj		Df		Dd		Db
241		2441		226		0		15		15

242		2462		231		0		11		11

242		2428		222		0		20		20

243		2448		227		0		16		16

244		164		77		4		163		167

245		2467		231		0		14		14

246		2272		126		5		115		120

246		2286		140		0		106		106

246		2466		231		0		15		15

248		2476		237		0		11		11

248		263		125		6		117		123

249		2188		83		0		166		166

249		2471		235		1		13		14

249		215		92		5		152		157

249		273		126		6		117		123

250		2270		126		0		124		124

250		2482		237		3		10		13

250		235		98		6		146		152

251		2281		140		6		105		111

251		2180		80		4		167		171

251		2370		184		0		67		67

251		2287		144		0		107		107

252		2469		235		1		16		17

252		2464		231		0		21		21

253		2473		235		2		16		18

253		2468		231		0		22		22

253		366		184		8		61		69

254		2302		147		6		101		107

254		2383		196		0		58		58

254		2503		244		0		10		10

254		2491		242		1		11		12

254		2488		241		1		12		13

254		2475		235		0		19		19

254		497		242		0		12		12

255		2233		98		5		152		157

255		2326		162		0		93		93

255		168		77		4		174		178

256		2490		242		2		12		14

256		2500		244		0		12		12

257		2477		237		0		20		20

257		2387		200		0		57		57

257		2324		162		0		95		95

257		2497		244		0		13		13

257		287		140		6		111		117

258		2328		162		5		91		96

258		2492		242		1		15		16

258		484		241		0		17		17

259		2514		254		0		5		5

260		2352		181		5		74		79

260		2361		183		0		77		77

260		2396		201		0		59		59

261		503		244		0		17		17

262		2478		237		0		25		25

262		2504		252		0		10		10

262		223		94		5		163		168

263		299		145		7		111		118

264		2506		252		0		12		12

264		2332		165		0		99		99

267		2505		252		1		14		15

267		2531		263		0		4		4

267		2524		259		0		8		8

268		2320		157		5		106		111

268		2522		259		0		9		9

269		524		259		0		10		10

270		2354		181		5		84		89

270		2267		126		14		130		144

270		2512		254		1		15		16

270		2264		125		0		145		145

273		2520		259		0		14		14

273		2538		264		0		9		9

274		2518		259		0		15		15

274		2537		264		0		10		10

276		2541		267		0		9		9

277		2532		264		1		12		13

277		538		264		0		13		13

278		2530		263		3		12		15

279		2525		263		1		15		16

280		2526		263		0		17		17

280		2527		263		2		15		17

281		2303		147		6		128		134

281		2262		125		5		151		156

281		239		107		6		168		174

283		2371		189		6		88		94

283		148		68		3		212		215

283		528		263		0		20		20

284		304		147		7		130		137

285		2542		267		0		18		18

285		2329		165		17		103		120

285		2551		280		0		5		5

285		2331		165		18		102		120

286		2366		184		5		97		102

287		2318		157		5		125		130

287		2554		281		0		6		6

288		2279		129		5		154		159

288		2282		140		6		142		148

288		2252		118		5		165		170

288		2360		183		0		105		105

288		2553		281		0		7		7

288		2552		280		0		8		8

288		322		157		8		123		131

289		2269		126		0		163		163

289		386		200		8		81		89

290		2402		203		0		87		87

290		2555		281		0		9		9

291		2393		201		6		84		90

291		2261		125		0		166		166

292		2569		286		0		6		6

292		2556		281		0		11		11

293		2419		218		0		75		75

293		2577		288		0		5		5

293		2548		280		0		13		13

294		2403		203		7		84		91

295		2327		162		5		128		133

295		2217		94		16		185		201

295		2567		286		0		9		9

296		2571		286		1		9		10

297		2564		282		1		14		15

297		2579		288		0		9		9

298		2494		242		0		56		56

298		2348		171		0		127		127

299		2581		293		0		6		6

300		2446		226		0		74		74

300		2323		162		18		120		138

300		2447		226		0		74		74

301		2590		294		0		7		7

301		2338		170		0		131		131

301		2587		293		0		8		8

302		2589		294		0		8		8

302		2306		147		0		155		155

302		2594		294		0		8		8

302		2350		181		0		121		121

303		2293		144		5		154		159

303		2243		107		0		196		196

304		2298		145		5		154		159

304		2599		297		0		7		7

304		167		77		4		223		227

306		2593		294		0		12		12

308		2606		304		0		4		4

310		2346		171		5		134		139

310		588		293		0		17		17

312		2365		184		0		128		128

312		2334		165		0		147		147

313		2605		304		0		9		9

314		2319		157		5		152		157

314		2608		304		0		10		10

315		243		107		6		202		208

316		2623		308		0		8		8

316		2613		306		0		10		10

317		2635		311		0		6		6

317		2364		184		21		112		133

317		2622		307		0		10		10

318		2612		306		0		12		12

319		2291		144		0		175		175

319		2641		313		0		6		6

320		2609		306		0		14		14

320		2640		313		0		7		7

320		380		196		7		117		124

321		2349		171		6		144		150

321		2617		307		1		13		14

322		2459		230		8		84		92

322		352		181		7		134		141

323		2648		315		0		8		8

323		2498		244		0		79		79

323		2502		244		0		79		79

323		437		224		8		91		99

324		2430		222		0		102		102

324		2626		308		0		16		16

325		2375		189		0		136		136

325		292		144		6		175		181

326		2242		107		0		219		219

326		2340		170		0		156		156

327		2633		311		0		16		16

327		2310		155		21		151		172

